id,uuid,version,status,errorDescription,longTicker,shortTicker,pairName,longTickerEntryPrice,longTickerCurrentPrice,shortTickerEntryPrice,shortTickerCurrentPrice,meanEntry,meanCurrent,spreadEntry,spreadCurrent,zScoreEntry,zScoreCurrent,pValueEntry,pValueCurrent,adfPvalueEntry,adfPvalueCurrent,correlationEntry,correlationCurrent,alphaEntry,alphaCurrent,betaEntry,betaCurrent,stdEntry,stdCurrent,zScoreChanges,longUSDTChanges,longPercentChanges,shortUSDTChanges,shortPercentChanges,portfolioBeforeTradeUSDT,profitUSDTChanges,portfolioAfterTradeUSDT,profitPercentChanges,minutesToMinProfitPercent,minutesToMaxProfitPercent,minProfitPercentChanges,maxProfitPercentChanges,formattedTimeToMinProfit,formattedTimeToMaxProfit,formattedProfitLong,formattedProfitShort,formattedProfitCommon,timestamp,entryTime,updatedTime,maxZ,minZ,maxLong,minLong,maxShort,minShort,maxCorr,minCorr,exitReason,closeAtBreakeven,settingsTimeframe,settingsCandleLimit,settingsMinZ,settingsMinWindowSize,settingsMinPValue,settingsMaxAdfValue,settingsMinRSquared,settingsMinCorrelation,settingsMinVolume,settingsCheckInterval,settingsMaxLongMarginSize,settingsMaxShortMarginSize,settingsLeverage,settingsExitTake,settingsExitStop,settingsExitZMin,settingsExitZMax,settingsExitZMaxPercent,settingsExitTimeMinutes,settingsExitBreakEvenPercent,settingsUsePairs,settingsAutoTradingEnabled,settingsUseMinZFilter,settingsUseMinRSquaredFilter,settingsUseMinPValueFilter,settingsUseMaxAdfValueFilter,settingsUseMinCorrelationFilter,settingsUseMinVolumeFilter,settingsUseExitTake,settingsUseExitStop,settingsUseExitZMin,settingsUseExitZMax,settingsUseExitZMaxPercent,settingsUseExitTimeHours,settingsUseExitBreakEvenPercent,settingsMinimumLotBlacklist
88,e25094a1-3470-4166-b810-7b0bbe22baa3,22,CLOSED,,ATOM-USDT-SWAP,CORE-USDT-SWAP,ATOM-USDT-SWAP/CORE-USDT-SWAP,4.524,4.533,0.4979,0.4931,0.0,0.0,0.0,0.0,4.857982354235233,4.58116257931837,1.5690434073710026E-190,1.9774603189670153E-187,0.9977613667754675,0.9984050149997857,0.9724564295568552,0.971084759245597,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.04497750,0.88000000,0.23531760,4.80000000,76.361872106622,0.28029510,76.61663505662199,5.68000000,10,22,-1.4739145,5.68000000,-1.47%/10min,5.68%/22min,0.04$/0.88%,0.24$/4.80%,0.28$/5.68%,2025-08-14 21:21:00,2025-08-14 21:21:09,2025-08-14 21:43:11,4.85798235423523,4.58116257931837,1.888431,0.221765,5.04895000,-3.85105,0.972456429556855,0.969034166253921,EXIT_REASON_BY_TAKE,false,15m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,
93,90b63247-7400-4037-96a8-57f46d9efcb2,31,CLOSED,,DOGE-USDT-SWAP,PI-USDT-SWAP,DOGE-USDT-SWAP/PI-USDT-SWAP,0.22487,0.2264,0.3888,0.3869,0.0,0.0,0.0,0.0,4.837409664188985,2.0374912649319303,1.0675437363693425E-74,5.019298287637778E-80,0.6414517462142644,0.05833852533874906,0.8215574571760772,0.8370240122670785,0.0,0.0,0.0,0.0,0.0,0.0,-2.80,0.16271860,3.25000000,0.11345670,2.27000000,76.383163556622,0.27617530,76.822095306622,5.52000000,9,33,0.1901505,5.52000000,0.19%/9min,5.52%/33min,0.16$/3.25%,0.11$/2.27%,0.28$/5.52%,2025-08-14 21:35:59,2025-08-14 21:36:08,2025-08-14 22:09:13,4.83740966418898,2.03749126493193,3.61335700,0.247357,3.520944,-1.645056,0.837122878167905,0.821339087992267,EXIT_REASON_BY_TAKE,false,15m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,
128,fdd1f056-cb27-4a42-bbf4-e9aac6e37ab5,19,CLOSED,,APE-USDT-SWAP,RESOLV-USDT-SWAP,APE-USDT-SWAP/RESOLV-USDT-SWAP,0.6068995238095239,0.6061,0.1711,0.1723,0.0,0.0,0.0,0.0,4.955501258035788,4.230112896058896,4.8341252325049796E-269,2.4231686016250278E-245,0.8637683891204904,0.9887237160483512,0.9918923033208423,0.9882851976950551,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,-0.03356321,-0.66000000,-0.15607800,-3.19000000,76.822095306622,-0.18964121,76.528635316622,-3.85000000,20,2,-3.85000000,0.15486367,-3.85%/20min,0.15%/2min,-0.03$/-0.66%,-0.16$/-3.19%,-0.19$/-3.85%,2025-08-15 01:16:14,2025-08-15 01:16:24,2025-08-15 01:36:50,4.95550125803579,4.11403758809336,0.332645,-0.902649,0.492276,-3.19000000,0.991907044009544,0.9882851976950551,EXIT_REASON_BY_STOP,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,BTC-USDT-SWAP
132,104a46f8-a16e-41be-838c-ec1fa150dfb6,15,CLOSED,,IMX-USDT-SWAP,TIA-USDT-SWAP,IMX-USDT-SWAP/TIA-USDT-SWAP,0.5715,0.5725,1.808,1.824,0.0,0.0,0.0,0.0,4.660581397719182,4.610564818263394,4.773130508341665E-286,5.298921432637217E-280,0.6556917137997735,0.9887739424439193,0.993771802055782,0.9931598284228558,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.04797600,1.04000000,-0.23811900,-4.41000000,76.625848916622,-0.19014300,76.346406316622,-3.37000000,14,1,-3.37000000,0.20085992,-3.37%/14min,0.20%/1min,0.05$/1.04%,-0.24$/-4.41%,-0.19$/-3.37%,2025-08-15 01:36:15,2025-08-15 01:36:25,2025-08-15 01:51:24,4.66058139771918,4.05758026483846,1.11804300,-0.186304,0.23437,-4.41000000,0.993771802055782,0.9931598284228558,EXIT_REASON_BY_STOP,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,BTC-USDT-SWAP
141,b341053c-8d0b-46bf-a595-6fc7bbf00904,5,CLOSED,,RESOLV-USDT-SWAP,TIA-USDT-SWAP,RESOLV-USDT-SWAP/TIA-USDT-SWAP,0.1726,0.1725,1.887,1.861,0.0,0.0,0.0,0.0,6.559287090430571,6.559287090430571,3.974730967450071E-251,6.222849333751994E-252,0.39571528197395966,0.39571528197395966,0.989292404538858,0.9894255336533542,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.02398800,-0.55000000,0.40620300,7.25000000,76.464681616622,0.38221500,76.68096661662197,6.70000000,1,1,-0.28435004,6.70000000,-0.28%/1min,6.70%/1min,-0.02$/-0.55%,0.41$/7.25%,0.38$/6.70%,2025-08-15 02:11:13,2025-08-15 02:11:22,2025-08-15 02:13:17,6.559287090430571,6.55928709043057,-0.037364,-0.55000000,7.25000000,-0.264125,0.9894255336533542,0.989276449475631,EXIT_REASON_BY_TAKE,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,"BTC-USDT-SWAP,ENS-USDT-SWAP"
138,663f8cdf-e4b9-4c47-b3d0-af2c8fb4773a,45,CLOSED,,CETUS-USDT-SWAP,PARTI-USDT-SWAP,CETUS-USDT-SWAP/PARTI-USDT-SWAP,0.1065582608695653,0.10823,0.1857,0.1878,0.0,0.0,0.0,0.0,5.091159708818363,2.2549833121445912,2.1603631581044273E-270,1.9834122905276157E-251,0.07613863430539125,0.5562759573274759,0.9920603318965239,0.9893425077830144,0.0,0.0,0.0,0.0,0.0,0.0,-2.84,0.38200890,7.64000000,-0.29914950,-5.98000000,76.346406316622,0.08285940,76.68499961662198,1.66000000,21,7,-0.289753,1.959247,-0.29%/21min,1.96%/7min,0.38$/7.64%,-0.30$/-5.98%,0.08$/1.66%,2025-08-15 01:56:13,2025-08-15 01:56:22,2025-08-15 02:42:13,5.09115970881836,2.25498331214459,7.93508400,0.391084,0.24141,-6.25859,0.992089660735693,0.979285158957601,EXIT_REASON_BY_TIME,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,"BTC-USDT-SWAP,ENS-USDT-SWAP"
142,169a18f6-e028-45c9-84c2-07505d4c9e95,49,CLOSED,,ALGO-USDT-SWAP,GPS-USDT-SWAP,ALGO-USDT-SWAP/GPS-USDT-SWAP,0.2602,0.2607,0.01469,0.01475,0.0,0.0,0.0,0.0,5.1031596662585565,3.1964977675495456,2.4338952991443547E-144,6.922422880000468E-137,0.898742278531458,0.9530786157805433,0.9429194586478156,0.9357155842570335,0.0,0.0,0.0,0.0,0.0,0.0,-1.91,0.04497750,0.88000000,-0.09964980,-2.03000000,76.634966616622,-0.05467230,76.63824427162199,-1.15000000,45,32,-1.15000000,2.03901719,-1.15%/45min,2.04%/32min,0.04$/0.88%,-0.10$/-2.03%,-0.05$/-1.15%,2025-08-15 02:16:11,2025-08-15 02:16:21,2025-08-15 03:02:13,5.10315966625856,1.24810626163495,3.935471,-0.476294,1.265157,-2.800149,0.942964589010074,0.931408758882342,EXIT_REASON_BY_TIME,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,"BTC-USDT-SWAP,ENS-USDT-SWAP"
143,fd4c0f29-e5ef-4e4e-90a9-c373852c20ef,48,CLOSED,,PRCL-USDT-SWAP,SHELL-USDT-SWAP,PRCL-USDT-SWAP/SHELL-USDT-SWAP,0.084717593220339,0.08459,0.1423,0.1416,0.0,0.0,0.0,0.0,4.655340219023364,1.714602877899904,1.2929723420335557E-180,3.596939811792921E-184,0.17098321647282227,0.02716727002480301,0.9678205691495745,0.9695677056485558,0.0,0.0,0.0,0.0,0.0,0.0,-2.94,-0.04112942,-0.82000000,0.10205100,2.04000000,76.790799616622,0.06092158,76.55466034162197,1.22000000,1,27,-0.3229865,2.0050135,-0.32%/1min,2.01%/27min,-0.04$/-0.82%,0.10$/2.04%,0.06$/1.22%,2025-08-15 02:46:19,2025-08-15 02:46:27,2025-08-15 03:32:14,4.65534021902336,1.32448054326281,1.798117,-2.036883,4.32191,-0.43809,0.970140664892961,0.95516260883817,EXIT_REASON_BY_TIME,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,"BTC-USDT-SWAP,ENS-USDT-SWAP"
145,9d54b7cc-0336-4a74-9736-90fbc87c9e7d,8,CLOSED,,MAJOR-USDT-SWAP,PLUME-USDT-SWAP,MAJOR-USDT-SWAP/PLUME-USDT-SWAP,0.1676,0.1672,0.10381,0.10436,0.0,0.0,0.0,0.0,5.288348570326918,5.015990133381429,2.1791764761981747E-77,5.753093067313677E-74,0.9407342656213232,0.982791295105315,0.8295614007372039,0.8193090550479921,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,-0.07446275,-1.49000000,-0.13206600,-2.64000000,76.559260341622,-0.20652875,76.31716479162198,-4.13000000,4,1,-4.13000000,0.100434,-4.13%/4min,0.10%/1min,-0.07$/-1.49%,-0.13$/-2.64%,-0.21$/-4.13%,2025-08-15 03:36:11,2025-08-15 03:36:21,2025-08-15 03:41:18,5.28834857032692,5.015990133381429,-0.048276,-1.49000000,0.489144,-2.64000000,0.829723406570691,0.795633310686446,EXIT_REASON_BY_STOP,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,"BTC-USDT-SWAP,ENS-USDT-SWAP"
144,a71eef95-5dd3-4ba8-b4d6-8d3b718087a9,48,CLOSED,,SLP-USDT-SWAP,VIRTUAL-USDT-SWAP,SLP-USDT-SWAP/VIRTUAL-USDT-SWAP,0.001896,0.001884,1.2376,1.2302,0.0,0.0,0.0,0.0,4.628018139881687,2.6494418396034853,1.1519958183355962E-190,1.0995568680221778E-182,0.4760998913493423,0.6713169609454103,0.9725142806766918,0.9688499170053559,0.0,0.0,0.0,0.0,0.0,0.0,-1.98,-0.16787602,-3.43000000,0.13836915,2.71000000,76.672794271622,-0.02950687,76.47601516162197,-0.72000000,4,10,-0.81215827,0.31104153,-0.81%/4min,0.31%/10min,-0.17$/-3.43%,0.14$/2.71%,-0.03$/-0.72%,2025-08-15 03:06:10,2025-08-15 03:06:20,2025-08-15 03:52:15,4.62801813988169,2.34431256148164,0.513636,-3.43000000,3.14462700,-1.522039,0.972514280676692,0.947917761799949,EXIT_REASON_BY_TIME,false,5m,300.0,4.5,100.0,0.1,0.8,0.8,0.8,1.0,1.0,5.0,5.0,5.0,3.0,-1.5,0.0,0.5,0.0,45.0,1.0,2.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,"BTC-USDT-SWAP,ENS-USDT-SWAP"
